name,part,way,img,detail
채소 자장면,일품,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00110_1.png,"중화면 200g 소스
감자 80g(1/2개), 양파 80g(1/3개), 애호박 30g(1/2개), 검은콩 2g(1/2작은술), 새송이버섯 30g(3개), 옥수수통조림 10g(2작은술), 설탕 20g(1½큰술), 저염간장 15g(1큰술), 자장분말 30g(2큰술), 녹말가루 30g(2큰술)
장식
오이 30g(1/5개), 완두콩 10g(2작은술)"
칠곡석류국수,일품,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00111_1.png,"주재료
소면 160g, 저염소금 4g(1작은술), 식초 8g(1/2작은술)
소스
석류 200g(1/2개)
장식
잣 4g(1작은술), 아몬드 4g(1작은술), 해바라기씨 4g(1작은술), 호두 4g(1작은술), 호박씨 4g(1작은술), 오이 20g(1/4개)"
세 가지 소스의 파스타,일품,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00112_1.png,"주재료
스파게티(삶은 것) 160g, 올리브오일 10g
근대소스
근대 60g(1/2개), 마늘 10g(2개), 양파 40g(1/4개), 올리브오일 10g, 생크림 80g
흑임자 연두부소스
생크림 80g, 흑임자 2g, 연두부 40g(1/10모)
파프리카 토마토소스
홍파프리카 100g(1/2개), 마늘 10g(2개), 양파 40g(1/4개), 토마토 60g(1/2개), 올리브오일 10g, 우유 200g(1컵)"
블랙빈 곤약국수,일품,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00113_1.png,"주재료
실곤약 440g, 검은콩 70g, 볶은 흑임자 6g(1작은술), 호두 6g(1알)
장식
오이 20g(1/8개), 토마토 50g(1/2개), 달걀 50g(1개)"
닭가슴살 브로콜리 만두,일품,찌기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00114_1.png,"주재료
만두피 4g(2장), 브로콜리 100g(1/4개), 숙주 100g, 표고버섯 20g(2개), 닭 가슴살 100g, 참기름 2g(1/2작은술), 저염간장 4g(1작은술), 소금 0.5g, 후춧가루 0.1g"
구운고등어 & 감자수제비 파스타,일품,볶기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00115_1.png,"주재료
감자 300g(2개), 시금치 40g, 비트 20g(1/4개), 오징어먹물 2g(1/2작은술), 밀가루 200g(1컵), 달걀 120g(2개), 올리브오일 10g(2작은술)
소스
버터10g ,다진 양파 40g(1/4개), 생크림 300g(1½컵), 우유 200g(1컵), 넛맥 0.2g, 파마산치즈가루 30g(2큰술), 후춧가루 2g
구운고등어
고등어 600g(1마리), 올리브오일 10g"
두유 파스타,일품,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00116_1.png,"주재료 페투치네 120g 소스
올리브오일 2g, 양파 40g(1/4개), 두유 400g(2컵), 흰 후춧가루 5g(1작은술)
장식
파마산치즈가루 30g(2큰술), 실파 2g, 마늘 40g(8개)"
김치필라프 크런치롤,후식,튀기기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00129_1.png,"주재료
김치 10g, 달걀 150g(3개), 베이컨 20g(2장), 빵가루 15g(1큰술), 적채 5g, 밀가루 5g(1작은술), 쌀밥 80g(1/3컵), 양상추 35g(1/6개), 양파 10g, 치즈 18g(1장), 소시지 20g
소스
설탕 1g, 식초 1g, 저염간장 3g(1/2개), 유자청 1g, 다진 청고추 2.5g, 다진 홍고추 2.5g"
굴 쌈밥,밥,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00130_1.png,"굴영양쌈밥
찹쌀 30g(2큰술), 멥쌀 15g(1큰술), 밤 10g(2개), 대추 2g(1개),
은행 3g(1개), 단호박 10g, 깻잎 2g(2장), 건다시마 0.5g, 굴 30g(5개)
배추김치말이
배추김치 10g, 저염햄 5g, 저염치즈 10g(1/2장), 홍고추 5g(1/2개)
쌈장소스
된장 2g, 고추장 1g, 다시마물 8g(1½작은술), 들깨가루 2g, 땅콩가루 1g, 다진 청양고추 1g, 다진 파 0.5g, 물엿 0.5g"
함초 냉이 국수,일품,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00131_1.png,"주재료 소면 50g 육수
함초 3g(1/2작은술), 노루궁뎅이버섯 25g(1/2개), 다시마 17g(15cm), 파 140g(1/2개), 양파 150g(1/2개), 무 250g(1/3개),
모시조개 150g(3/4컵), 냉이 35g, 간장 30g(2큰술)
장식
달걀 50g(1개), 청고추 20g(1개), 실고추 2g"
흑두부 버섯비빔밥,밥,튀기기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00132_1.png,"주재료
쌀 90g(1/2컵), 찹쌀 10g(2작은술), 흑두부 45g(1/4모), 생표고버섯 15g(2장), 느타리버섯 30g, 애느타리버섯 20g, 새송이버섯 20g, 양파 20g, 황금팽이버섯 10g, 팽이버섯 10g,
홍파프리카 10g(1/8개), 황파프리카 10g(1/8개), 청파프리카 10g(1/8개)
양념고추장
저염스모크햄 10g(3cm), 베이컨 10g(1장), 백태 10g(2작은술), 참기름 10g(2작은술), 물엿 10g(2작은술), 고추장 10g(2작은술), 참깨 5g(2작은술)"
하수오 구기자 밥 & 참나물 양념장,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00133_1.png,"주재료
쌀 240g(1컵), 베이컨 20g(2장), 후랑크소시지 20g(1개),
연근 40g(1/4개), 당근 30g(1/5개), 우엉 40g(1/4개), 고구마 20g(1/5개)
육수
하수오 3g, 구기자 1g
겉절이 양념장
참나물 10g, 풋고추 6g(1작은술), 홍고추 6g(1작은술), 양파 10g(2작은술), 마늘 12g(3개), 저염간장 10g(2작은술), 들기름 5g(1작은술), 고춧가루 0.2g, 참깨 0.2g"
참치해초비빔밥 & 비트절임,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00134_1.png,"주재료
청양고추 6g(1/3개), 베이컨 40g(4장), 새싹 20g, 쌀밥 300g(1½컵),
오이 40g(1/4개), 오징어 20g(1/4개), 해초 80g, 홍합 40g(10개), 볶은 참깨 2g, 통조림참치 50g
비트절임소스
청양고추 10g(1개), 날치알 10g(2작은술), 레몬 2g, 마늘 10g(2개),
무 50g(1/4개), 비트 10g(2작은술), 설탕 40g(3큰술), 양조식초 40g(3큰술), 양파 20g(1/8개), 오이 10g(1/8개), 참기름 20g(1½큰술), 통후추 2g"
유자 묵화반,밥,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00135_1.png,"주재료
녹두묵 10g, 청포묵 10g, 달걀 10g, 당근 10g(3cm), 도토리묵 10g, 멥쌀 200g(1컵), 시금치 30g, 양파 30g, 저염베이컨 30g(3개), 참나물 30g, 표고버섯 20g(2개), 참치통조림 30g
양념장
다진 홍고추 2g, 다진 청양고추 2g, 고춧가루 2g, 유자청 2g, 저염간장 20g(1½큰술), 맛술 20g(1½큰술)"
롤 삼계탕,국&찌개,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00136_1.png,"주재료
마 30g(1/4개), 대추 20g(10개), 은행 35g(25개), 단호박 40g(1/8개), 아스파라거스 15g(1/3개), 영콘 20g(1개), 마늘 10g(2개), 쌀 200g(1컵) 육수
닭 550g(1마리), 파 15g(1큰술), 마늘 15g(3개)"
된장 두부찌개,국&찌개,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00137_1.png,"두부 320g(1모), 쌀뜨물 300g(1½컵), 돼지고기 100g, 김치 140g, 된장 20g(1½큰술), 청양고추 10g(1/2개), 홍고추 5g(1/4개),
대파 10g(2cm), 고춧가루 5g(1작은술)"
부대된장찌개,국&찌개,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00138_1.png,"다시마 1g, 두부 10g, 떡국 떡 10g, 스팸(마일드) 10g, 다진 마늘 5g, 무 20g, 김치 15g, 소시지 10g(1/2개), 우민찌 5g(1작은술), 양파 5g, 저염된장 15g(1큰술), 베이컨 5g, 대파 5g, 청양고추 5g, 홍고추 1g"
